"","LD1","LD2","LD3","pop"
"SGS_10_2_1",-1.93188523893456,2.49170386539845,-2.37998476617309,"SGS"
"SGS_1_1_3",-1.51616547963189,0.530926824139719,0.323461543985207,"SGS"
"SGS_2_3_1",-3.29029059452603,0.548489250118696,0.780710975586284,"SGS"
"SGS_4_2_1",-2.46421869237423,2.51982045074781,-2.18955472330954,"SGS"
"SGS_8_2_1",-1.43867793083478,2.5785706688807,-0.663809584222454,"SGS"
"SGS_9_1_3",-2.45535276087471,0.342723662985032,0.507947724428408,"SGS"
"SGS_1_3_1",-2.90955586948672,0.068315386052636,-0.341835755954696,"SGS"
"SGS_2_2_1",-3.18652676970212,-0.37967634326133,0.750353234358484,"SGS"
"SGS_4_3_1",-1.78974252741399,-0.330678356455361,0.0597801828472119,"SGS"
"SGS_6_3_1",-2.85472572954749,-0.078488635205617,0.234992898854218,"SGS"
"SGS_7_3_1",-1.88838690066118,0.451316777952826,-0.403682812586096,"SGS"
"SGS_9_2_2",-0.820267181298132,1.07126779976268,-0.353338021186982,"SGS"
"CP01",-2.69057478675253,-0.275740214712261,0.690059790954999,"Cedar Point"
"CP02",-1.91883455347112,-0.139307868850756,0.283472776371334,"Cedar Point"
"CP03",-0.567332680450989,0.127668839461257,0.211654469226213,"Cedar Point"
"CP04",-0.988290138052202,0.342641852486537,0.0951308263597717,"Cedar Point"
"CP05",-0.868285805292558,0.0650345460270641,-0.132192926963059,"Cedar Point"
"CP06",-0.710013236918456,0.458018404711554,1.29005375029341,"Cedar Point"
"CP07",-0.772538857956989,-0.0438437677842182,0.496882155490511,"Cedar Point"
"CP08",-1.33299011431386,0.0200763016347652,0.284279169987523,"Cedar Point"
"CP09",-0.662164102059828,-0.00654382004153684,0.382388428188741,"Cedar Point"
"CP10",-1.32881241075359,0.0296496656365299,0.459855851957469,"Cedar Point"
"CP11",-1.15575772857504,-0.372897066712959,0.643900309651008,"Cedar Point"
"CP12",-0.895569460524603,0.564945717555359,0.200148312970222,"Cedar Point"
"CP13",-1.59558674895853,-0.45578726773107,0.443041382554493,"Cedar Point"
"CP14",-2.92126558656001,-0.569324450465902,-0.0554797602411369,"Cedar Point"
"CP16",-1.12835292715571,0.0235193341290473,-0.256044004790402,"Cedar Point"
"CP17",-1.70300829207326,-0.281827519132436,0.590848536039302,"Cedar Point"
"KNZ01",-1.83168518096868,-0.486498192493268,0.0908516664059627,"Konza"
"KNZ02",-1.72593470186605,-0.0413456755106307,0.509488641451167,"Konza"
"KNZ04",-1.18926554616298,-0.244439029567868,0.148120557490432,"Konza"
"KNZ05",-1.77376599103531,-1.81928525708713,0.230478268936308,"Konza"
"KNZ06",-1.29958707197374,-0.468795582624438,-0.00649405818543133,"Konza"
"KNZ07",-3.19237697414894,-1.21116079314034,0.550009443639683,"Konza"
"KNZ08",-1.75439512499185,-2.42932891218531,0.632298139866556,"Konza"
"KNZ09",-0.90724171532011,-0.208228412913029,0.451220281949811,"Konza"
"KNZ10",-1.9511413030049,-0.133654390907901,0.250911517157277,"Konza"
"KNZ11",-1.28104804728138,-2.1322022334537,0.60850116649778,"Konza"
"KNZ12",-1.56562872542484,-0.15472416914224,-0.126238851805344,"Konza"
"KNZ13",-1.22075917532429,-1.52006855306499,0.334313042435013,"Konza"
"KNZ14",-0.644133400684111,-4.25998098730576,0.689700548276534,"Konza"
"KNZ15",-1.92220326583529,-5.32242041750157,-5.00513247249002,"Konza"
"KNZ16",-0.954503223793885,-1.3742548760881,-1.05156322601175,"Konza"
"KNZ17",-2.47761452055912,-0.910289383167291,-0.254770790089145,"Konza"
"SEV01",7.58517977116007,-0.930376051061883,2.03192092500572,"Sevilleta"
"SEV02",3.70218131852717,-0.328445922212727,0.137091685386836,"Sevilleta"
"SEV03",7.34106290052059,-0.313115935294639,-1.14116200430865,"Sevilleta"
"SEV04",6.74888270451162,0.0793978171524169,-0.493517384115709,"Sevilleta"
"SEV05",7.12309907374635,-0.684819194220557,-0.0109747708428712,"Sevilleta"
"SEV06",6.81198695095344,-0.248315005471518,0.142803086230172,"Sevilleta"
"SEV07",7.83709536985748,1.80815145597424,2.11547015255305,"Sevilleta"
"SEV08",6.99125940810161,1.25840228288601,-3.48173429816633,"Sevilleta"
"SEV09",5.97078042830647,0.147064497256288,0.951854189285325,"Sevilleta"
"SEV10",6.02386442071677,0.669149080992393,-0.787885622580384,"Sevilleta"
"SEV11",7.37459208155489,0.642042283274788,0.0437798292849453,"Sevilleta"
"SEV12",6.31775749726828,0.845115565841182,0.314745329729845,"Sevilleta"
"SEV13",6.794837602334,0.590131482384962,-1.66027372184634,"Sevilleta"
"SEV14",4.45477513324698,-0.282528799280281,-0.238084213776971,"Sevilleta"
"SEV15",8.09624528564563,-1.49815864423335,0.547684408146906,"Sevilleta"
"SEV16",2.69520141859888,0.20054241576324,0.259485958933227,"Sevilleta"
"SEV17",3.85853193026234,-0.557116338673977,0.861978556847976,"Sevilleta"
"SGS02",-1.04204377198334,0.478833215068993,-0.153021625726182,"SGS"
"SGS03",-1.56685927858917,0.175782649218446,0.22656286442313,"SGS"
"SGS04",-2.7218232857168,-0.0803843036704297,0.626403900050993,"SGS"
"SGS05",-2.49859327350303,0.806226671060224,-0.143333722219709,"SGS"
"SGS06",-0.999401990902969,-0.25121816894015,0.273414532419609,"SGS"
"SGS07",-3.153371405822,1.31829084851215,-0.0515081080741225,"SGS"
"SGS08",-1.48212958192017,0.336397042513397,0.251319951324495,"SGS"
"SGS09",-1.81162976818877,0.163818770599442,0.397926864591573,"SGS"
"SGS10",-3.05015493379713,0.274020100145112,-0.411004498025981,"SGS"
"SGS11",-2.23633730126575,0.972535305161944,-0.0728874040363475,"SGS"
"SGS12",-1.38339662950304,0.823251485045984,-0.346031994547549,"SGS"
"SGS13",-4.06059611526335,2.62813119375357,-0.46544836223707,"SGS"
"SGS14",-2.15728872731533,0.59931691707049,0.78571726332782,"SGS"
"SGS15",-0.643688705964852,0.281002432315337,0.251760338869387,"SGS"
"SGS16",-1.43957010725975,0.530740676737194,-0.278345062724518,"SGS"
"SGS17",-2.00399134478654,2.96223700315807,-0.48944088338447,"SGS"
